ID,Pixel_X,Pixel_Y,World_X,World_Y,World_Z,Is_Shuiguan
1,0,153,-269.293,410.969,210.648,No
2,84,155,-94.9772,-216.619,-716.352,No
3,163,158,-269.114,98.3001,220.648,No
4,228,161,-266.435,-29.1252,220.648,No
5,315,163,-266.937,-199.559,222.648,No
6,385,166,-262.265,-336.855,220.648,No
7,468,169,-263.474,-501.604,227.648,No
8,468,238,-135.02,-503.879,225.648,No
9,385,234,-138.355,-339.11,216.648,No
10,314,232,-139.109,-200.5,220.648,No
11,228,230,-94.9772,-216.619,-716.352,No
12,162,228,-139.419,92.3984,211.648,No
13,84,226,-94.9772,-216.619,-716.352,No
14,9,223,-94.9772,-216.619,-716.352,No
15,6,301,1.30276,394.609,215.648,No
16,84,303,0.525974,237.653,205.648,No
17,161,307,-94.9773,-216.619,208.648,No
18,228,310,7.38464,-37.6303,208.648,No
19,312,312,8.48763,-199.939,218.648,No
20,385,314,8.85592,-342.55,217.648,No
21,468,317,11.5292,-506.866,224.648,No
22,385,388,145.326,-345.749,218.648,No
23,310,386,144.934,-199.095,218.648,No
24,228,384,142.798,-40.2814,210.648,No
25,160,383,143.159,90.5174,207.648,No
26,84,382,144.074,234.428,205.648,No
27,6,381,144.591,382.175,201.648,No
28,84,458,322.259,278.937,303.648,No
29,228,469,296.814,-44.3304,207.648,No
30,309,466,290.322,-200.539,213.648,No
31,385,469,295.833,-349.529,221.648,No
32,467,472,297.348,-510.106,220.648,No
