ID,Pixel_X,Pixel_Y,World_X,World_Y,World_Z,Is_Shuiguan
1,13,160,159.86,-16.5268,925.284,No
2,85,160,158.243,-88.5086,925.284,No
3,164,160,156.468,-167.489,932.284,No
4,228,160,155.311,-231.979,936.284,No
5,315,161,154.995,-319.457,939.284,No
6,384,163,154.751,-387.546,934.284,No
7,469,167,157.569,-472.59,943.284,No
8,469,238,228.113,-474.176,938.284,No
9,384,235,226.662,-390.067,936.284,No
10,314,232,225.921,-319.713,936.284,No
11,228,230,225.013,-233.545,929.284,No
12,162,229,225.549,-167.738,932.284,No
13,84,227,225.831,-89.5273,925.284,No
14,12,226,226.092,-17.1818,925.284,No
15,11,298,298.448,-17.8975,920.284,No
16,84,302,300.602,-91.2076,921.284,No
17,161,306,302.859,-168.016,-0.716325,No
18,228,309,304.493,-235.331,925.284,No
19,313,312,305.385,-319.999,935.284,No
20,385,314,306.153,-392.854,934.284,No
21,469,319,308.575,-475.984,939.284,No
22,386,388,380.135,-394.571,930.284,No
23,310,386,379.341,-319.285,934.284,No
24,228,383,378.469,-236.494,926.284,No
25,161,382,378.757,-169.487,924.284,No
26,84,381,379.398,-92.4781,922.284,No
27,8,380,380.024,-17.194,922.284,No
28,84,462,460.377,-94.2979,922.284,No
29,228,465,459.967,-238.325,924.284,No
30,309,467,460.924,-319.578,929.284,No
31,386,470,462.114,-396.413,933.284,No
32,466,475,465.243,-476.567,939.284,No
