ID,Pixel_X,Pixel_Y,World_X,World_Y,World_Z,Is_Shuiguan
1,13,160,-13.0049,159.979,-926.415,No
2,85,160,-85.0049,159.979,-926.415,No
3,164,160,-164.005,159.979,-933.415,No
4,228,160,-228.505,160.271,-937.415,No
5,315,161,-315.968,161.921,-940.415,No
6,384,163,-384.046,163.207,-935.415,No
7,469,167,-469.005,167.935,-944.415,No
8,469,238,-469.005,238.497,-939.415,No
9,384,235,-384.951,235.156,-937.415,No
10,314,232,-314.63,232.835,-937.415,No
11,228,230,-228.505,229.991,-930.415,No
12,162,229,-162.702,229.049,-933.415,No
13,84,227,-84.5049,227.573,-926.415,No
14,12,226,-12.1718,226.209,-926.415,No
15,11,298,-11.2617,298.563,-921.415,No
16,84,302,-84.5049,302.363,-922.415,No
17,161,306,-161.243,306.345,-0.415014,No
18,228,309,-228.505,309.491,-926.415,No
19,313,312,-313.131,312.285,-936.415,No
20,385,314,-385.951,314.689,-935.415,No
21,469,319,-469.005,318.979,-940.415,No
22,386,388,-386.005,388.691,-931.415,No
23,310,386,-310.755,386.207,-935.415,No
24,228,383,-228.005,383.474,-927.415,No
25,161,382,-161.008,382.257,-925.415,No
26,84,381,-84.0049,381.168,-923.415,No
27,8,380,-8.7257,380.102,-923.415,No
28,84,462,-84.0049,462.168,-923.415,No
29,228,465,-228.005,464.993,-925.415,No
30,309,467,-309.216,467.775,-930.415,No
31,386,470,-386.005,470.691,-934.415,No
32,466,475,-466.068,475.621,-940.415,No
