ID,Pixel_X,Pixel_Y,World_X,World_Y,World_Z,Is_Shuiguan
1,13,160,-94.9773,-216.619,206.648,No
2,85,160,-260.428,244.547,211.648,No
3,164,160,-264.737,94.9229,216.648,No
4,228,160,-268.282,-29.0838,220.648,No
5,315,161,-270.825,-199.458,223.648,No
6,384,163,-269.235,-334.478,218.648,No
7,469,167,-266.874,-502.886,225.648,No
8,469,238,-134.979,-505.234,223.648,No
9,384,235,-136.561,-337.46,218.648,No
10,314,232,-139.109,-200.5,220.648,No
11,228,230,-94.9773,-216.619,215.648,No
12,162,229,-137.73,95.6371,215.648,No
13,84,227,-137.712,244.677,209.648,No
14,12,226,-136.272,382.126,206.648,No
15,11,298,-5.54913,379.169,203.648,No
16,84,302,-1.2911,237.694,205.648,No
17,161,306,3.21554,92.7383,210.648,No
18,228,309,5.56166,-37.5894,208.648,No
19,313,312,8.3331,-201.909,217.648,No
20,385,314,8.85592,-342.55,217.648,No
21,469,319,15.0769,-508.606,223.648,No
22,386,388,143.997,-347.003,213.648,No
23,310,386,144.934,-199.095,218.648,No
24,228,383,140.971,-40.2403,210.648,No
25,161,382,140.74,86.0392,205.648,No
26,84,381,142.257,234.468,205.648,No
27,8,380,141.401,375.137,196.648,No
28,84,462,303.615,247.674,239.648,No
29,228,465,-94.9773,-216.619,210.648,No
30,309,467,292.154,-200.581,213.648,No
31,386,470,295.964,-350.955,217.648,No
32,466,475,304.206,-509.206,223.648,No
